ID,category,model_name,source_url
92,cat_and_dog,cat2,https://sketchfab.com/3d-models/black-cat-44734c6bb2994e148ed42952bf1917b4
93,cat_and_dog,dog1,https://sketchfab.com/3d-models/luna-the-lowpoly-dog-61abe4aabd9d4cb5bfdd817b98e8ef06
94,cat_and_dog,dog2,https://sketchfab.com/3d-models/golden-retriever-dog-996d7f56b3e64a4cbeca0434b5811632
95,lamp,desklamp2,https://sketchfab.com/3d-models/stylized-desk-lamp-c4c277adfd2742e3a4550ef3b299b9a5
96,lamp,desklamp3,https://sketchfab.com/3d-models/simple-retro-desk-lamp-9818614b5da1479ba43a6a1216b1688f
97,fridge,fridge1,https://sketchfab.com/3d-models/fridge-1f4c9e8b774f49f39b656e09e4e1f4aa
98,fridge,fridge2,https://sketchfab.com/3d-models/house-props-fridge-2fdaa56bbd85404cb4206dcaedc16658
99,fridge,fridge3,https://sketchfab.com/3d-models/retro-fridge-3b130f0ba4304966a101c82be2429cc7
100,fridge,fridge4,https://sketchfab.com/3d-models/fridge-with-icecubemaker-4c72b167c87f4fcd8d75b835a02b6e9c
101,fridge,fridge5,https://sketchfab.com/3d-models/handpainted-ridge-the-fridge-51b1fdccb6bb40a181df054fcf8d2e31
102,fridge,fridge6,https://sketchfab.com/3d-models/fridge-7bd62539798e4ec1bc99e12d6cca9fa1
103,fridge,fridge7,https://sketchfab.com/3d-models/stylized-rusty-fridge-a0cdfdd590514560874cdad1f9949616
104,fridge,fridge8,https://sketchfab.com/3d-models/fridge-930a1ad92ee54b29b718de69f0cd209b
105,fridge,fridge9,https://sketchfab.com/3d-models/fridge-930a1ad92ee54b29b718de69f0cd209b
106,fridge,fridge10,https://sketchfab.com/3d-models/old-fridge-ed54fd30ed8c4ebeaa5ef1a6a1b34366
107,laptop,laptop1,https://sketchfab.com/3d-models/laptop-maxblommers-01e09d1d7de94a05becd3c7fd5812f2e
108,laptop,laptop2,https://sketchfab.com/3d-models/my-hp-laptop-2ef84b073b224aefa682b55dab151ec6
109,laptop,laptop3,https://sketchfab.com/3d-models/gaming-laptop-311f26f6fba94d73b9b14b8be18dbfe9
110,laptop,laptop4,https://sketchfab.com/3d-models/laptop-icon-4b32f2f1f986494fbc0db31f00d57eab
111,laptop,laptop5,https://sketchfab.com/3d-models/laptop-9a960986f0cc49f99a0afdfb486ec859
112,laptop,laptop6,https://sketchfab.com/3d-models/surface-laptop-go-ice-blue-6495988c6c044c76a2fc9f9278543c16
113,laptop,laptop7,https://sketchfab.com/3d-models/laptop3-8038c177f8a14051b3254af915fa3464
114,laptop,laptop8,https://sketchfab.com/3d-models/apple-mac-laptop-94016bc400fb4464bde2236c8c74e465
115,laptop,laptop9,https://sketchfab.com/3d-models/laptop-b2294dd19a924561ab4b2fd23610815f
116,laptop,laptop10,https://sketchfab.com/3d-models/hp-elitebook-laptop-137a3e8ca97c40f9916e34d2b0c07a9a
117,laptop,laptop11,https://sketchfab.com/3d-models/laptop-426afac17c664f1a9e3224394024fb7e
118,lamp,lamp1,https://sketchfab.com/3d-models/tris-table-lamp-matt-grey-and-copper-0105ab41dff84e65af37926dc1a984ab
119,lamp,lamp2,https://sketchfab.com/3d-models/miller-table-lamp-walnut-and-red-0beea6e2cd4f407dbc921d0796fc396d
120,lamp,lamp3,https://sketchfab.com/3d-models/tiptoe-table-lamp-24a69c97ec1643d49442fe3ccd3f9775
121,lamp,lamp4,https://sketchfab.com/3d-models/lamp-a54be692664c44289364fbd11b34502f
122,lamp,lamp5,https://sketchfab.com/3d-models/collet-table-lamp-pale-blush-90770ba037ef4cdda310b0c4af787c17
123,lamp,lamp6,https://sketchfab.com/3d-models/table-lamp-b0bce5ad99d84befaf9159681c551051
124,lamp,lamp7,https://sketchfab.com/3d-models/table-lamp-b140f762f97d43f5b48d13997e0d997b
125,lamp,lamp8,https://sketchfab.com/3d-models/old-table-lamp-dd1b521edd1142bfa23b900665460013
126,lamp,lamp9,https://sketchfab.com/3d-models/rita-table-lamp-brass-and-marble-1a1b3c816fac48b1a013957bca110f0a
127,lamp,lamp10,https://sketchfab.com/3d-models/table-lamp-01-6c395859886f405fb065b31b3e41d680
128,lego,lego1,https://sketchfab.com/3d-models/lego-emmet-a47c42aa3dc249bc88415f9f20ade920
129,lego,lego3,https://sketchfab.com/3d-models/lego-d1c223c140e74f86b641b97c89a451c8
130,lego,lego4,https://sketchfab.com/3d-models/lego-man-pilot-87609996959243729dfa2d683e5caa23
131,mug,mug2,https://sketchfab.com/3d-models/mug-53e59503256d4932b0a86dd14f508d82
132,pillow,pillow1,https://sketchfab.com/3d-models/pillow-2b2cdea766144b2385b75f5c5088e62d
133,pillow,pillow2,https://sketchfab.com/3d-models/pillow2-b3b1e389ea5741029dab7152b16333f2
134,pillow,pillow3,https://sketchfab.com/3d-models/pillow-90d0c49db71a48ceb3b37c30ca55cdbd
135,pillow,pillow4,https://sketchfab.com/3d-models/pillow-767346fa104240e08053820f28ef342d
136,pillow,pillow5,https://sketchfab.com/3d-models/pillow-c03d9385a87040bda4f4fde8a00e461c
137,pillow,pillow6,https://sketchfab.com/3d-models/seat-pillow-a0308968f8734095aa1fe0b35f5e2b60
138,pillow,pillow7,https://sketchfab.com/3d-models/ashley-homestore-pillow-flower-e077e53e43b44004b1a9375fd919ec1f
139,pillow,pillow8,https://sketchfab.com/3d-models/pillow-with-hearts-8230e789f9214e5f9bd5ac3dab938667
140,pillow,pillow9,https://sketchfab.com/3d-models/ashley-homestore-pillow-star-85bbb5013c184400ad8e9dff892c5e46
141,pillow,pillow10,https://sketchfab.com/3d-models/pillow02-b3eb949fc4184ee698a768db932643bb
142,plant,plant1,https://sketchfab.com/3d-models/monstera-deliciosa-potted-mid-century-plant-1ab9bf841df04c07b1819be596327629
143,plant,plant2,https://sketchfab.com/3d-models/plant-9dc8d0836aa04a3baa38bd5630f75924
144,plant,plant3,https://sketchfab.com/3d-models/coffee-plant-sasha-an-cecd9cfe831b4282906064d622df850d
145,plant,plant4,https://sketchfab.com/3d-models/indoor-plant-bpaOec5a2WUaiKuF0ATci1cjCK7
146,plant,plant5,https://sketchfab.com/3d-models/indoor-plant-lowpoly-b473cf63f2394f30abdcb525c3e1da31
147,plant,plant6,https://sketchfab.com/3d-models/week-08-plant-b7648302cbaa45b69bc856ee87ee76de
148,plant,plant7,https://sketchfab.com/3d-models/palm-plant-plant-assigment-b823e3028c71487e9788cc9aa8cf17e3
149,plant,plant8,https://sketchfab.com/3d-models/planta-2-bb18d0a8b49a43e3b5aaa56fc3b477b5
150,plant,plant9,https://sketchfab.com/3d-models/plantwk8-be0d227f8ca94fbabd4ca25e542c3f86
151,plant,plant10,https://sketchfab.com/3d-models/clover-plant-c4d0b5ebdd0a4d0999c24503719bc925
152,rubberduck,rubberduck1,https://sketchfab.com/3d-models/wonder-woman-rubber-ducky-c2db477ae08b44adbadf36a52dd88da7
153,rubberduck,rubberduck2,https://sketchfab.com/3d-models/tophatducky-6b9167157b544ac88ff511ac37bee28b
154,rubberduck,rubberduck3,https://sketchfab.com/3d-models/rubber-duck-sketchfab-weekly-4-jan23-0f5ea996246a4346af9a1413930cacb4
155,rubberduck,rubberduck4,https://sketchfab.com/3d-models/rubber-duck-ecb9ce9ff973406398ee56e391f9c902
156,scooter,scooter1,https://sketchfab.com/3d-models/scooter-073c239c137146afaaac6ecc89c0e7e9
157,scooter,scooter2,https://sketchfab.com/3d-models/turbo-scooter-f34c576a7c554e0eabd8f4636db5c2b6
158,scooter,scooter3,https://sketchfab.com/3d-models/scooter-december-challenge-4a7cdfd9fe6c4111b682edc7abd71659
159,scooter,scooter4,https://sketchfab.com/3d-models/vintage-scooter-ad0f9220657c43fb89692dcf7a6b45a8
160,scooter,scooter5,https://sketchfab.com/3d-models/scooter-bd185fd53145401ca9c42780510b54fa
161,scooter,scooter6,https://sketchfab.com/3d-models/e-scooter-ff44e222b5f943548a59d1a929664a57
162,scooter,scooter7,https://sketchfab.com/3d-models/3december-2021-scooter-39b7d1dd59434817aaab9f72b358d061
163,scooter,scooter8,https://sketchfab.com/3d-models/moto-scooter-roller-goggo-1954-8f471629f95a42f1b4db50f06e2903c0
164,scooter,scooter9,https://sketchfab.com/3d-models/archive-sm-vintage-scooter-01-a-91b031e0cc1b438b8c94bcb6e87aa381
165,scooter,scooter10,https://sketchfab.com/3d-models/tier-scooter-9479a6d3f1474971afde26b33fe96c55
166,scooter,scooter11,https://sketchfab.com/3d-models/3december-2021-day-2-scooter-db9f2f8c6c4f418c9a2ca170ee60a737
167,shoppingcart,shoppingcart1,https://sketchfab.com/3d-models/shopping-cart-3674ea1aabf9458dadd8332872509749
168,shoppingcart,shoppingcart2,https://sketchfab.com/3d-models/shopping-cart-b96f896453b240ae804d0399f1faf027
169,shoppingcart,shoppingcart4,https://sketchfab.com/3d-models/cartoon-shopping-cart-f9d4c719cb474a8f938d13116e498c94
170,shoppingcart,shoppingcart5,https://sketchfab.com/3d-models/shopping-cart-model-5ce63640d40340be940138c9b90d5eec
171,shoppingcart,shoppingcart6,https://sketchfab.com/3d-models/chris-shopping-cart-674db922826f4c468d9672ad16e199f8
172,shoes,shoes1,https://sketchfab.com/3d-models/shoes-8202cb5fdf654563aa6e3d8e188a17d1
173,shoes,shoes2,https://sketchfab.com/3d-models/shoes-violet-8bd01d4db0b142dd918dd374de9b4c1b
174,shoes,shoes3,https://sketchfab.com/3d-models/adidas-shoes-e431c192455f4df2b79575ece66b2bd8
175,shoes,shoes4,https://sketchfab.com/3d-models/yellow-leather-boots-af3743bdb36c433ebf71a2135d3fcf60
176,shoes,shoes5,https://sketchfab.com/3d-models/provocative-pink-shoes-b230d90d71854d858711fc0a68749327
177,shoes,shoes6,https://sketchfab.com/3d-models/leather-shoes-c2a5343bf18949fc8d6815034ec7f87d
178,shoes,shoes7,https://sketchfab.com/3d-models/graffiti-shoes-95a4e4057ab6452db6960763b37fe3f6
179,shoes,shoes8,https://sketchfab.com/3d-models/shoes-5b57582865104fc9839656a6f160806a
180,shoes,shoes9,https://sketchfab.com/3d-models/leather-shoes-military-style-9ee71feff47b42eea1291ea75d129519
181,shelf,shelf1,https://sketchfab.com/3d-models/bookshelf-03d896dc76154dea86ac9a69e06a2981
182,shelf,shelf2,https://sketchfab.com/3d-models/oriental-shelf-5d0f48de9618466fbe99f7cc7de0e0a2
183,shelf,shelf3,https://sketchfab.com/3d-models/very-simplified-shelf-0ba903b566164dce9d2d7b2adc9ba921
184,shelf,shelf4,https://sketchfab.com/3d-models/contemporary-shelf-design-16336f736d2e491795e7c6e2d156288d
185,shelf,shelf5,https://sketchfab.com/3d-models/bookshelf-31cf88aa1d3f4434b3cd6561300787e1
186,shelf,shelf6,https://sketchfab.com/3d-models/cc0-shelf-5-4525d20aa1224624b738b6aa3a390a03
187,shelf,shelf7,https://sketchfab.com/3d-models/old-damaged-industrial-shelf-4e9a5760954d470d8712a91e43801c0a
188,shelf,shelf8,https://sketchfab.com/3d-models/wooden-shelflow-poly-5861155b706041508812bb83b76e0390
189,shelf,shelf9,https://sketchfab.com/3d-models/basic-wood-shelf-a36ccdecfb7646f98aa317f3f80bcfab
190,shelf,shelf10,https://sketchfab.com/3d-models/bookshelf-91fb6c7660bf4ea5bd3a8dc2aed10c23
191,soda_can,soda_can1,https://sketchfab.com/3d-models/soda-can-c63a465fc3fc4b5dac6bf385bd954c2c
192,soda_can,soda_can2,https://sketchfab.com/3d-models/soda-can-1b63dd4832144e89955ecf2f70e8af4b
193,soda_can,soda_can3,https://sketchfab.com/3d-models/diet-soda-fdc6b2fd40974708a07f1717a433e7c1
194,soda_can,soda_can4,https://sketchfab.com/3d-models/soda-can-baf9b7293ecd404b845044d3eb4d6e37
195,soda_can,soda_can5,https://sketchfab.com/3d-models/soda-can-33d6fa3c813b445b92a24281202a47d7
196,soda_can,soda_can6,https://sketchfab.com/3d-models/custom-soda-can-9a1b7cae6591402793127ca494f0553e
197,soda_can,soda_can7,https://sketchfab.com/3d-models/high-poly-soda-can-4ace4fbc91124683976db7e9530f98ae
198,soda_can,soda_can8,https://sketchfab.com/3d-models/soda-can-c59c29d22df34631b2ff7c5ba676c4ee
199,television,television1,https://sketchfab.com/3d-models/old-retro-television-05321a3b4f0b4612a14be3346c710a6a
200,television,television2,https://sketchfab.com/3d-models/crt-tv-freepolyorg-13d2c68ebf764ef4afd7c77fc60df58c
201,television,television3,https://sketchfab.com/3d-models/retro-tv-14fa7c1f2c694e5b93622403c2f38ddb
202,television,television4,https://sketchfab.com/3d-models/tv-20b51132e1f0419fa3967362fe7833f2
203,television,television5,https://sketchfab.com/3d-models/old-box-tv-2124d859bb8144c88e374dc265d8968b
204,truck,toy_truck1,https://sketchfab.com/3d-models/truck3-e382d1986ccc4ac69b734263302a7a35
205,truck,toy_truck2,https://sketchfab.com/3d-models/dirty-old-truck-0563c6e7a4ac4f02b6914f4f6e32b7fa
206,truck,toy_truck3,https://sketchfab.com/3d-models/hilux-like-pick-up-truck-501c2fa5bd1a4ecd822365fa7daa8019
207,truck,toy_truck4,https://sketchfab.com/3d-models/garbage-truck-5d505fdbcc594cb3b3f1b30be8240ad7
208,truck,toy_truck5,https://sketchfab.com/3d-models/almighty-mobile-detail-truck-b31f51da34e142db9133c3fd1c7743ee
209,truck,toy_truck6,https://sketchfab.com/3d-models/tow-truck-70ff658259bf4e4eaf0023a01497afdb
210,truck,toy_truck7,https://sketchfab.com/3d-models/low-poly-truck-72f57ee881e847d2876d44cbd5dee978
211,truck,toy_truck9,https://sketchfab.com/3d-models/toy-truck-8bd6eda897ec4f86816fbfe8616b041f
212,truck,toy_truck10,https://sketchfab.com/3d-models/low-poly-truck-98826ebd44e2492298ac925461509216
213,truck,truck11,https://sketchfab.com/3d-models/truck-toy-0ca58464b1204136b29670fb9a8d279f
214,truck,truck12,https://sketchfab.com/3d-models/kids-toy-truck-mid-high-poly-toon-toy-model-5532a4014545475da466c18cf2b3711f
215,teddybear,teddybear1,https://sketchfab.com/3d-models/harrison-teddy-bear-692d47bbe9e24abe87d344619ff479ae
216,teddybear,teddybear2,https://sketchfab.com/3d-models/teddybear-8673cf294717420b929d72a488c8923a
217,teddybear,teddybear3,https://sketchfab.com/3d-models/teddybear-toy-e806f00712ee4f03909f9a7800864358
218,teddybear,teddybear4,https://sketchfab.com/3d-models/earthbound-teddy-bear-1f5ac9ee05cb47c7a579fbb694a94e5f
219,teddybear,teddybear5,https://sketchfab.com/3d-models/teddy-bear-c6d4a418c33e42a6a2bd066d2b43bca8
220,table,table1,https://sketchfab.com/3d-models/metal-indoor-outdoor-restaurant-dining-table-030f3d20a03c412f86ba0b1da594043f
221,table,table2,https://sketchfab.com/3d-models/table-032df16ea10b452f90d19e9a7af2a560
222,table,table3,https://sketchfab.com/3d-models/canteen-table-0355e76e4a4145c58b76087eaae509c0
223,table,table4,https://sketchfab.com/3d-models/table-041e48014da84390a360acf0ff5f8ed1
224,table,table5,https://sketchfab.com/3d-models/deauville-extending-dining-table-oak-0470446818df45998f214b131d1b580e
225,table,table6,https://sketchfab.com/3d-models/european-round-wooden-table-04b8504222d64179a4f335a9507dbca1
226,table,table7,https://sketchfab.com/3d-models/table-04cef6d68ac74d58b15f1fb054ed6cd9
227,table,table8,https://sketchfab.com/3d-models/3d-table-sledge-by-jakub-velinsky-05adb3b58db245848157ba8f05a16e16
228,table,table9,https://sketchfab.com/3d-models/industrial-style-table-06ebe7eb63e24534bf9739266c94ce2c
229,table,table10,https://sketchfab.com/3d-models/made-essentials-mino-extending-dining-table-oak-17975ae5ad4f40bf955f7fb97926987e
